Layer_0, torch.Size([187, 8]), 169.5, 124, 117.0
Layer_1, torch.Size([187, 8]), 166.5, 122, 114.5
Layer_2, torch.Size([187, 8]), 162.5, 118, 112.0
Layer_3, torch.Size([187, 8]), 159.5, 120, 111.0
Layer_4, torch.Size([187, 8]), 156.0, 117, 109.0
Layer_5, torch.Size([187, 8]), 153.5, 113, 106.0
Layer_6, torch.Size([187, 8]), 140.0, 112, 99.0
Layer_7, torch.Size([187, 8]), 140.5, 116, 101.0
Layer_8, torch.Size([187, 8]), 155.0, 116, 107.0
Layer_9, torch.Size([187, 8]), 156.5, 117, 109.5
Layer_10, torch.Size([187, 8]), 155.5, 118, 109.0
Layer_11, torch.Size([187, 8]), 166.5, 121, 114.5
Layer_12, torch.Size([187, 8]), 154.0, 114, 107.5
Layer_13, torch.Size([187, 8]), 156.0, 115, 107.5
Layer_14, torch.Size([187, 8]), 158.5, 115, 108.5
Layer_15, torch.Size([187, 8]), 149.0, 115, 104.5
Layer_16, torch.Size([187, 8]), 150.5, 114, 105.5
Layer_17, torch.Size([187, 8]), 160.0, 119, 110.5
Layer_18, torch.Size([187, 8]), 133.0, 108, 95.0
Layer_19, torch.Size([187, 8]), 140.5, 112, 101.0
Layer_20, torch.Size([187, 8]), 149.5, 115, 105.0
Layer_21, torch.Size([187, 8]), 153.5, 119, 107.0
Layer_22, torch.Size([187, 8]), 161.5, 120, 112.0
Layer_23, torch.Size([187, 8]), 162.5, 123, 114.0
Layer_24, torch.Size([187, 8]), 155.0, 120, 109.5
Layer_25, torch.Size([187, 8]), 162.0, 123, 112.5
Layer_26, torch.Size([187, 8]), 165.0, 119, 112.5
Layer_27, torch.Size([187, 8]), 162.0, 124, 112.5
Layer_28, torch.Size([187, 8]), 158.5, 119, 110.5
Layer_29, torch.Size([187, 8]), 162.5, 119, 112.0
Layer_30, torch.Size([187, 8]), 148.0, 120, 105.5
Layer_31, torch.Size([187, 8]), 147.0, 113, 103.0
Layer_32, torch.Size([187, 8]), 155.5, 119, 109.0
Layer_33, torch.Size([187, 8]), 160.0, 120, 111.5
Layer_34, torch.Size([187, 8]), 159.5, 120, 111.0
Layer_35, torch.Size([187, 8]), 168.5, 124, 116.0
Layer_36, torch.Size([187, 8]), 170.0, 120, 115.5
Layer_37, torch.Size([187, 8]), 166.0, 120, 114.0
Layer_38, torch.Size([187, 8]), 162.5, 122, 113.0
Layer_39, torch.Size([187, 8]), 160.5, 118, 110.0
Layer_40, torch.Size([187, 8]), 161.5, 116, 110.5
Layer_41, torch.Size([187, 8]), 158.0, 116, 108.5
Layer_42, torch.Size([187, 8]), 160.5, 118, 110.5
Layer_43, torch.Size([187, 8]), 158.5, 117, 109.0
Layer_44, torch.Size([187, 8]), 155.5, 115, 107.0
Layer_45, torch.Size([187, 8]), 151.0, 114, 104.5
Layer_46, torch.Size([187, 8]), 157.5, 116, 109.5
Layer_47, torch.Size([187, 8]), 158.5, 116, 110.0
Layer_0, torch.Size([153, 8]), 170.0, 123, 117.0
Layer_1, torch.Size([153, 8]), 178.0, 127, 121.5
Layer_2, torch.Size([153, 8]), 161.0, 122, 112.5
Layer_3, torch.Size([153, 8]), 156.5, 119, 109.0
Layer_4, torch.Size([153, 8]), 154.5, 115, 107.5
Layer_5, torch.Size([153, 8]), 158.0, 116, 109.5
Layer_6, torch.Size([153, 8]), 143.5, 110, 100.5
Layer_7, torch.Size([153, 8]), 138.0, 113, 98.5
Layer_8, torch.Size([153, 8]), 152.5, 119, 107.5
Layer_9, torch.Size([153, 8]), 153.5, 116, 107.0
Layer_10, torch.Size([153, 8]), 154.5, 117, 108.0
Layer_11, torch.Size([153, 8]), 158.5, 120, 111.0
Layer_12, torch.Size([153, 8]), 155.5, 115, 108.5
Layer_13, torch.Size([153, 8]), 144.5, 108, 101.0
Layer_14, torch.Size([153, 8]), 151.5, 115, 106.0
Layer_15, torch.Size([153, 8]), 143.5, 112, 100.5
Layer_16, torch.Size([153, 8]), 135.0, 112, 97.0
Layer_17, torch.Size([153, 8]), 154.0, 114, 107.5
Layer_18, torch.Size([153, 8]), 130.0, 108, 93.5
Layer_19, torch.Size([153, 8]), 128.5, 105, 91.5
