Layer 0: Entropy=3.4093, Top-4 Coverage=0.2292, Self-Transition=0.1626
Layer 1: Entropy=3.3664, Top-4 Coverage=0.2151, Self-Transition=0.2608
Layer 2: Entropy=3.2458, Top-4 Coverage=0.2326, Self-Transition=0.2984
Layer 3: Entropy=3.1889, Top-4 Coverage=0.2595, Self-Transition=0.3542
Layer 4: Entropy=3.0988, Top-4 Coverage=0.2372, Self-Transition=0.3306
Layer 5: Entropy=3.1388, Top-4 Coverage=0.2271, Self-Transition=0.3253
Layer 6: Entropy=2.7683, Top-4 Coverage=0.3036, Self-Transition=0.4671
Layer 7: Entropy=2.8507, Top-4 Coverage=0.2996, Self-Transition=0.4267
Layer 8: Entropy=3.0015, Top-4 Coverage=0.2513, Self-Transition=0.3784
Layer 9: Entropy=3.0157, Top-4 Coverage=0.2609, Self-Transition=0.3797
Layer 10: Entropy=3.0873, Top-4 Coverage=0.2676, Self-Transition=0.3770
Layer 11: Entropy=3.2676, Top-4 Coverage=0.2432, Self-Transition=0.3367
Layer 12: Entropy=3.0222, Top-4 Coverage=0.2414, Self-Transition=0.3716
Layer 13: Entropy=3.0049, Top-4 Coverage=0.2739, Self-Transition=0.3448
Layer 14: Entropy=3.0951, Top-4 Coverage=0.2325, Self-Transition=0.3286
Layer 15: Entropy=2.9394, Top-4 Coverage=0.2755, Self-Transition=0.3844
Layer 16: Entropy=2.9220, Top-4 Coverage=0.2521, Self-Transition=0.3716
Layer 17: Entropy=3.1365, Top-4 Coverage=0.2336, Self-Transition=0.3065
Layer 18: Entropy=2.5712, Top-4 Coverage=0.3079, Self-Transition=0.4798
Layer 19: Entropy=2.7528, Top-4 Coverage=0.2958, Self-Transition=0.4288
Layer 20: Entropy=2.9984, Top-4 Coverage=0.2646, Self-Transition=0.3858
Layer 21: Entropy=3.0245, Top-4 Coverage=0.2687, Self-Transition=0.3710
Layer 22: Entropy=3.1469, Top-4 Coverage=0.2592, Self-Transition=0.3407
Layer 23: Entropy=3.3081, Top-4 Coverage=0.2478, Self-Transition=0.3233
Layer 24: Entropy=3.1521, Top-4 Coverage=0.2653, Self-Transition=0.3313
Layer 25: Entropy=3.1146, Top-4 Coverage=0.2621, Self-Transition=0.3380
Layer 26: Entropy=3.2833, Top-4 Coverage=0.2225, Self-Transition=0.3112
Layer 27: Entropy=3.2727, Top-4 Coverage=0.2543, Self-Transition=0.3179
Layer 28: Entropy=3.2065, Top-4 Coverage=0.2477, Self-Transition=0.3017
Layer 29: Entropy=3.2532, Top-4 Coverage=0.2378, Self-Transition=0.2970
Layer 30: Entropy=2.9546, Top-4 Coverage=0.3024, Self-Transition=0.4173
Layer 31: Entropy=2.8897, Top-4 Coverage=0.2756, Self-Transition=0.3999
Layer 32: Entropy=3.1225, Top-4 Coverage=0.2482, Self-Transition=0.3602
Layer 33: Entropy=3.1684, Top-4 Coverage=0.2511, Self-Transition=0.3192
Layer 34: Entropy=3.3605, Top-4 Coverage=0.2307, Self-Transition=0.3024
Layer 35: Entropy=3.4699, Top-4 Coverage=0.2349, Self-Transition=0.2997
Layer 36: Entropy=3.3868, Top-4 Coverage=0.2415, Self-Transition=0.2876
Layer 37: Entropy=3.3408, Top-4 Coverage=0.2390, Self-Transition=0.2829
Layer 38: Entropy=3.3989, Top-4 Coverage=0.2305, Self-Transition=0.2675
Layer 39: Entropy=3.2183, Top-4 Coverage=0.2349, Self-Transition=0.2944
Layer 40: Entropy=3.2003, Top-4 Coverage=0.2213, Self-Transition=0.2728
Layer 41: Entropy=3.1990, Top-4 Coverage=0.2080, Self-Transition=0.2406
Layer 42: Entropy=3.1794, Top-4 Coverage=0.2132, Self-Transition=0.2547
Layer 43: Entropy=3.1000, Top-4 Coverage=0.2044, Self-Transition=0.2843
Layer 44: Entropy=3.1579, Top-4 Coverage=0.2213, Self-Transition=0.2762
Layer 45: Entropy=3.0573, Top-4 Coverage=0.2278, Self-Transition=0.2910
Layer 46: Entropy=3.2081, Top-4 Coverage=0.2168, Self-Transition=0.2554
Layer 47: Entropy=3.2266, Top-4 Coverage=0.1996, Self-Transition=0.2036
Layer 0: Entropy=3.5109, Top-4 Coverage=0.2370, Self-Transition=0.3989
